Node	Period	Operationalhour	Value
Denmark	1	187	5162.480872259888
Denmark	1	188	5198.420518394724
Denmark	1	189	5218.195849265516
Denmark	1	190	5248.69327690763
Denmark	1	191	5286.010047699676
Denmark	1	192	5309.467286251236
Denmark	1	193	6110.783590353549
Denmark	1	194	6107.518206550062
Denmark	1	195	5896.3088442831595
Denmark	1	196	5737.510862018635
Denmark	1	197	5599.05626960465
Denmark	1	198	5537.441042787913
Denmark	1	199	5490.414429708972
Denmark	1	200	5518.124533853435
Denmark	1	201	5612.579789226638
Denmark	1	202	6008.656310397379
Denmark	1	203	6647.579956065565
Denmark	1	204	6993.020561556119
Denmark	1	205	6893.082502636682
Denmark	1	206	6721.136017186346
Denmark	1	207	6493.761285498168
Denmark	1	208	6170.724947251567
Denmark	1	209	5907.813916340393
Denmark	1	210	5652.510342881594
Denmark	1	211	5479.813956328575
Denmark	1	212	5456.041129454934
Denmark	1	213	5730.756481308285
Denmark	1	214	5895.413337712455
Denmark	1	215	5776.753182769136
Denmark	1	216	5751.977720595841
Denmark	1	217	5774.833430675463
Denmark	1	218	6082.543903968404
Denmark	1	219	6090.6864779869375
Denmark	1	220	6001.124093417633
Denmark	1	221	5939.53851477312
Denmark	1	222	5879.887841732514
Denmark	1	223	5882.0424073501645
Denmark	1	224	6083.858174500508
Denmark	1	225	6223.45191557603
Denmark	1	226	6268.096660383635
Denmark	1	227	6568.541486707503
Denmark	1	228	7036.930031692679
Denmark	1	229	6883.431297845947
Denmark	1	230	6543.537272414316
Denmark	1	231	6266.9600153455485
Denmark	1	232	5945.515322753382
Denmark	1	233	5619.203190900599
Denmark	1	234	5388.231411189023
Denmark	1	235	5355.855870664006
Denmark	1	236	5281.237350820512
Denmark	1	237	5211.3274878041875
Denmark	1	238	5220.537396022628
Denmark	1	239	5187.5377944147895
Denmark	1	240	5281.839142831754
France	1	1	64800.12782881077
France	1	2	64952.80395697242
France	1	3	65231.7757613096
France	1	4	65298.36623854542
France	1	5	65134.03431783951
France	1	6	65169.729567749215
France	1	7	65220.97571049644
France	1	8	64889.88234945725
France	1	9	64704.14704936212
France	1	10	64905.590620084404
France	1	11	65265.966086106004
France	1	12	65439.937396426554
France	1	13	65546.88544058983
France	1	14	65710.65670292015
France	1	15	65484.68186923979
France	1	16	65014.82064219721
France	1	17	64988.59756800068
France	1	18	65096.19479554613
France	1	19	64750.78989176276
France	1	20	64318.00097028913
France	1	21	64216.87590434204
France	1	22	64484.03453834538
France	1	23	64739.448854797796
France	1	24	64961.84334376411
France	1	25	65084.44064188336
France	1	26	65253.611929620296
France	1	27	65492.747480958205
France	1	28	65536.45916202702
France	1	29	65382.022369843915
France	1	30	65378.156777886186
France	1	31	65348.38286731111
France	1	32	64959.28595468269
France	1	33	64619.46796243105
France	1	34	64604.5859251995
France	1	35	64667.47802437909
France	1	36	64679.55676973295
France	1	37	64766.163734586924
France	1	38	65004.256658068494
France	1	39	64861.64287233114
France	1	40	64507.4739928879
France	1	41	64561.39555805879
France	1	42	64546.02171523461
France	1	43	64102.988483267465
France	1	44	63644.551900140636
France	1	45	63445.68539072347
France	1	46	63644.32566956803
France	1	47	64054.658747684305
France	1	48	64388.91933673968
France	1	49	47663.72261360839
France	1	50	47821.7889310648
France	1	51	48011.665234249485
France	1	52	48186.54146686036
France	1	53	48296.66657515169
France	1	54	48249.649960500734
France	1	55	48165.24628470151
France	1	56	48035.734199950515
France	1	57	48260.02214044831
France	1	58	48363.12918293347
France	1	59	48327.188030227466
France	1	60	48020.99970439672
France	1	61	47821.11023934703
France	1	62	47775.8051081582
France	1	63	47531.446581427095
France	1	64	47245.95343493224
France	1	65	47347.717848149696
France	1	66	47595.39114457482
France	1	67	47677.32595629927
France	1	68	47578.35499884773
France	1	69	47395.23610450514
France	1	70	47170.982590398795
France	1	71	46965.58490271217
France	1	72	46970.57181142097
France	1	73	47114.05117500134
France	1	74	47219.523802386815
France	1	75	47414.0427503655
France	1	76	47646.45040119683
France	1	77	47740.81805830179
France	1	78	47708.28020029646
France	1	79	47734.13933835451
France	1	80	47675.28004503411
France	1	81	47830.2873317046
France	1	82	48034.524358192786
France	1	83	48005.48815600663
France	1	84	47827.18895647134
France	1	85	47706.22445291945
France	1	86	47760.146018090345
France	1	87	47627.99785536311
France	1	88	47414.31816149736
France	1	89	47432.31824618593
France	1	90	47534.35807053516
France	1	91	47623.44373557578
France	1	92	47625.9568621539
France	1	93	47413.600125332196
France	1	94	47261.57318055272
France	1	95	47104.81506597261
France	1	96	47148.792322061454
France	1	97	45307.21644452004
France	1	98	45585.63250853757
France	1	99	45521.889585682795
France	1	100	45341.510048490854
France	1	101	45064.08743177037
France	1	102	44884.3029793455
France	1	103	44876.74884544341
France	1	104	44922.34905998776
France	1	105	44769.96801518162
France	1	106	44646.74120590388
France	1	107	44587.45895977381
France	1	108	44639.90510816696
France	1	109	44584.63599567242
France	1	110	44567.24574991865
