Node	Period	Season	Operationalhour	Scenario	HydroGeneratorMaxSeasonalProduction
Germany	2	winter	47	scenario1	137.0825
Germany	2	winter	48	scenario1	60.8325
France	2	winter	1	scenario1	3834.0
France	2	winter	2	scenario1	3082.0
France	2	winter	3	scenario1	2344.0
France	2	winter	4	scenario1	2267.0
France	2	winter	5	scenario1	1941.0
France	2	winter	6	scenario1	1963.0
France	2	winter	7	scenario1	3019.0
France	2	winter	8	scenario1	5099.0
France	2	winter	9	scenario1	4984.0
France	2	winter	10	scenario1	4206.0
France	2	winter	11	scenario1	3235.0
France	2	winter	12	scenario1	3714.0
France	2	winter	13	scenario1	3912.0
France	2	winter	14	scenario1	3494.0
France	2	winter	15	scenario1	2867.0
France	2	winter	16	scenario1	2469.0
France	2	winter	17	scenario1	1822.0
France	2	winter	18	scenario1	1636.0
France	2	winter	19	scenario1	1822.0
France	2	winter	20	scenario1	2243.0
France	2	winter	21	scenario1	2274.0
France	2	winter	22	scenario1	2731.0
France	2	winter	23	scenario1	3725.0
France	2	winter	24	scenario1	4469.0
France	2	winter	25	scenario1	4359.0
France	2	winter	26	scenario1	4085.0
France	2	winter	27	scenario1	3710.0
France	2	winter	28	scenario1	2641.0
France	2	winter	29	scenario1	2546.0
France	2	winter	30	scenario1	2447.0
France	2	winter	31	scenario1	3404.0
France	2	winter	32	scenario1	4423.0
France	2	winter	33	scenario1	4458.0
France	2	winter	34	scenario1	3507.0
France	2	winter	35	scenario1	2430.0
France	2	winter	36	scenario1	2460.0
France	2	winter	37	scenario1	2893.0
France	2	winter	38	scenario1	2733.0
France	2	winter	39	scenario1	1829.0
France	2	winter	40	scenario1	1945.0
France	2	winter	41	scenario1	1396.0
France	2	winter	42	scenario1	840.0
France	2	winter	43	scenario1	609.0
France	2	winter	44	scenario1	833.0
France	2	winter	45	scenario1	941.0
France	2	winter	46	scenario1	981.0
France	2	winter	47	scenario1	1328.0
France	2	winter	48	scenario1	2164.0
Germany	2	spring	49	scenario1	212.24
Germany	2	spring	50	scenario1	255.105
Germany	2	spring	51	scenario1	195.8125
Germany	2	spring	52	scenario1	318.205
Germany	2	spring	53	scenario1	409.32
Germany	2	spring	54	scenario1	218.675
Germany	2	spring	55	scenario1	183.175
Germany	2	spring	56	scenario1	232.75
Germany	2	spring	57	scenario1	245.3425
Germany	2	spring	58	scenario1	167.2725
Germany	2	spring	59	scenario1	118.42
Germany	2	spring	60	scenario1	141.105
Germany	2	spring	61	scenario1	81.9475
Germany	2	spring	62	scenario1	82.2
Germany	2	spring	63	scenario1	121.4725
Germany	2	spring	64	scenario1	338.6675
Germany	2	spring	65	scenario1	306.055
Germany	2	spring	66	scenario1	54.96
Germany	2	spring	67	scenario1	181.0675
Germany	2	spring	68	scenario1	277.19
Germany	2	spring	69	scenario1	259.0475
Germany	2	spring	70	scenario1	259.415
Germany	2	spring	71	scenario1	118.8625
Germany	2	spring	72	scenario1	83.5725
Germany	2	spring	73	scenario1	73.715
Germany	2	spring	74	scenario1	68.835
Germany	2	spring	75	scenario1	29.7625
