Node	Operationalhour	Scenario	Period	ElectricLoadRaw_in_MW
Germany	166	scenario1	1	68679.445
Germany	167	scenario1	1	69785.98
Germany	168	scenario1	1	70386.655
Germany	169	scenario1	1	69497.0875
Germany	170	scenario1	1	68026.7675
Germany	171	scenario1	1	66432.2125
Germany	172	scenario1	1	64849.43
Germany	173	scenario1	1	64042.67
Germany	174	scenario1	1	64136.855
Germany	175	scenario1	1	66097.7425
Germany	176	scenario1	1	65955.045
Germany	177	scenario1	1	61732.2075
Germany	178	scenario1	1	57863.6875
Germany	179	scenario1	1	54623.9425
Germany	180	scenario1	1	50626.095
Germany	181	scenario1	1	46865.95
Germany	182	scenario1	1	44776.915
Germany	183	scenario1	1	43629.275
Germany	184	scenario1	1	43673.8075
Germany	185	scenario1	1	43701.4675
Germany	186	scenario1	1	44317.285
Germany	187	scenario1	1	45885.795
Germany	188	scenario1	1	49055.6825
Germany	189	scenario1	1	52277.82
Germany	190	scenario1	1	54886.72
Germany	191	scenario1	1	56576.5475
Germany	192	scenario1	1	57793.2
Denmark	145	scenario1	1	4337.07
Denmark	146	scenario1	1	4304.94
Denmark	147	scenario1	1	4194.75
Denmark	148	scenario1	1	4052.65
Denmark	149	scenario1	1	4048.34
Denmark	150	scenario1	1	4306.81
Denmark	151	scenario1	1	4441.32
Denmark	152	scenario1	1	4269.0
Denmark	153	scenario1	1	3935.19
Denmark	154	scenario1	1	3673.53
Denmark	155	scenario1	1	3375.26
Denmark	156	scenario1	1	3040.42
Denmark	157	scenario1	1	2818.52
Denmark	158	scenario1	1	2669.38
Denmark	159	scenario1	1	2623.27
Denmark	160	scenario1	1	2643.52
Denmark	161	scenario1	1	2712.09
Denmark	162	scenario1	1	2907.44
Denmark	163	scenario1	1	3339.16
Denmark	164	scenario1	1	3899.9
Denmark	165	scenario1	1	4212.37
Denmark	166	scenario1	1	4347.76
Denmark	167	scenario1	1	4485.94
Denmark	168	scenario1	1	4448.97
Denmark	169	scenario1	1	4310.88
Denmark	170	scenario1	1	4225.44
Denmark	171	scenario1	1	4145.82
Denmark	172	scenario1	1	4042.32
Denmark	173	scenario1	1	4053.26
Denmark	174	scenario1	1	4279.9
Denmark	175	scenario1	1	4365.77
Denmark	176	scenario1	1	4034.04
Denmark	177	scenario1	1	3714.11
Denmark	178	scenario1	1	3478.26
Denmark	179	scenario1	1	3223.77
Denmark	180	scenario1	1	2965.61
Denmark	181	scenario1	1	2762.74
Denmark	182	scenario1	1	2610.57
Denmark	183	scenario1	1	2545.69
Denmark	184	scenario1	1	2539.62
Denmark	185	scenario1	1	2552.11
Denmark	186	scenario1	1	2626.48
Denmark	187	scenario1	1	2790.64
Denmark	188	scenario1	1	3075.6
Denmark	189	scenario1	1	3345.35
Denmark	190	scenario1	1	3578.12
Denmark	191	scenario1	1	3709.71
Denmark	192	scenario1	1	3725.38
France	145	scenario1	1	61368.0
France	146	scenario1	1	60024.0
France	147	scenario1	1	58850.0
France	148	scenario1	1	56934.0
France	149	scenario1	1	55693.0
France	150	scenario1	1	55180.0
France	151	scenario1	1	58043.0
France	152	scenario1	1	62613.0
France	153	scenario1	1	59518.0
France	154	scenario1	1	55596.0
France	155	scenario1	1	55773.0
France	156	scenario1	1	57060.0
France	157	scenario1	1	53702.0
France	158	scenario1	1	50815.0
France	159	scenario1	1	49249.0
France	160	scenario1	1	46899.0
France	161	scenario1	1	46299.0
France	162	scenario1	1	48812.0
France	163	scenario1	1	54099.0
France	164	scenario1	1	59760.0
France	165	scenario1	1	62375.0
France	166	scenario1	1	63242.0
France	167	scenario1	1	63139.0
France	168	scenario1	1	62753.0
France	169	scenario1	1	62170.0
France	170	scenario1	1	60225.0
France	171	scenario1	1	58474.0
France	172	scenario1	1	56342.0
France	173	scenario1	1	54671.0
France	174	scenario1	1	54399.0
France	175	scenario1	1	57134.0
France	176	scenario1	1	61396.0
France	177	scenario1	1	58857.0
France	178	scenario1	1	55775.0
France	179	scenario1	1	56293.0
France	180	scenario1	1	57511.0
France	181	scenario1	1	54132.0
France	182	scenario1	1	51202.0
France	183	scenario1	1	49176.0
France	184	scenario1	1	46592.0
France	185	scenario1	1	45600.0
France	186	scenario1	1	46577.0
France	187	scenario1	1	48734.0
France	188	scenario1	1	51387.0
France	189	scenario1	1	53543.0
France	190	scenario1	1	55700.0
France	191	scenario1	1	56048.0
France	192	scenario1	1	55724.0
Germany	193	scenario1	1	54791.39
Germany	194	scenario1	1	57374.195
Germany	195	scenario1	1	64280.33
Germany	196	scenario1	1	70858.9525
Germany	197	scenario1	1	73144.8025
Germany	198	scenario1	1	73290.8625
Germany	199	scenario1	1	73347.8325
Germany	200	scenario1	1	54791.39
Germany	201	scenario1	1	57374.195
Germany	202	scenario1	1	64280.33
Germany	203	scenario1	1	70858.9525
