Node	IntermitentGenerators	Operationalhour	Scenario	Period	GeneratorStochasticAvailabilityRaw
Germany	Hydrorun-of-the-river	26	scenario1	1	0.524614305
Germany	Hydrorun-of-the-river	27	scenario1	1	0.523330907
Germany	Hydrorun-of-the-river	28	scenario1	1	0.520260167
Germany	Hydrorun-of-the-river	29	scenario1	1	0.51493825
Germany	Hydrorun-of-the-river	30	scenario1	1	0.516263498
Germany	Hydrorun-of-the-river	31	scenario1	1	0.511723651
Germany	Hydrorun-of-the-river	32	scenario1	1	0.508551774
Germany	Hydrorun-of-the-river	33	scenario1	1	0.509113261
Germany	Hydrorun-of-the-river	34	scenario1	1	0.507727853
Germany	Hydrorun-of-the-river	35	scenario1	1	0.505964053
Germany	Hydrorun-of-the-river	36	scenario1	1	0.507148929
Germany	Hydrorun-of-the-river	37	scenario1	1	0.512181385
Germany	Hydrorun-of-the-river	38	scenario1	1	0.514097763
Germany	Hydrorun-of-the-river	39	scenario1	1	0.515300077
Germany	Hydrorun-of-the-river	40	scenario1	1	0.519583593
Germany	Hydrorun-of-the-river	41	scenario1	1	0.521754559
Germany	Hydrorun-of-the-river	42	scenario1	1	0.522451186
Germany	Hydrorun-of-the-river	43	scenario1	1	0.520104102
Germany	Hydrorun-of-the-river	44	scenario1	1	0.51630622
Germany	Hydrorun-of-the-river	45	scenario1	1	0.509585816
Germany	Hydrorun-of-the-river	46	scenario1	1	0.505315379
Germany	Hydrorun-of-the-river	47	scenario1	1	0.503392025
Germany	Hydrorun-of-the-river	48	scenario1	1	0.503097332
Denmark	Hydrorun-of-the-river	1	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	2	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	3	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	4	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	5	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	6	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	7	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	8	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	9	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	10	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	11	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	12	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	13	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	14	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	15	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	16	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	17	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	18	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	19	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	20	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	21	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	22	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	23	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	24	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	25	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	26	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	27	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	28	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	29	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	30	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	31	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	32	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	33	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	34	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	35	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	36	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	37	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	38	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	39	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	40	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	41	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	42	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	43	scenario1	1	0.2
Denmark	Hydrorun-of-the-river	44	scenario1	1	0.2
