Country,Energy_Type,Period,Type,Value
France,CoalCCS,4,Generation,0.0
France,CoalCCS,5,Generation,0.0
France,CoalCCS,6,Generation,0.0
France,CoalCCS,7,Generation,0.0
France,CoalCCS,8,Generation,0.0
Germany,GasCCS,1,Generation,0.0
Germany,GasCCS,2,Generation,0.0
Germany,GasCCS,3,Generation,0.0
Germany,GasCCS,4,Generation,0.0
Germany,GasCCS,5,Generation,0.0
Germany,GasCCS,6,Generation,0.0
Germany,GasCCS,7,Generation,0.0
Germany,GasCCS,8,Generation,0.0
France,GasCCS,1,Generation,0.0
France,GasCCS,2,Generation,0.0
France,GasCCS,3,Generation,0.0
France,GasCCS,4,Generation,0.0
France,GasCCS,5,Generation,0.0
France,GasCCS,6,Generation,0.0
France,GasCCS,7,Generation,0.0
France,GasCCS,8,Generation,0.0
Germany,Waste,1,Generation,272.82048313575615
Germany,Waste,2,Generation,0.2089496469446928
Germany,Waste,3,Generation,1.0592734335704024
Germany,Waste,4,Generation,0.03888055333941347
Germany,Waste,5,Generation,272.8635733936637
Germany,Waste,6,Generation,0.1917469915676308
Germany,Waste,7,Generation,1.0494231498306563
Germany,Waste,8,Generation,0.037945189301571605
Denmark,Waste,1,Generation,0.0
Denmark,Waste,2,Generation,0.0
Denmark,Waste,3,Generation,0.0
Denmark,Waste,4,Generation,0.0
Denmark,Waste,5,Generation,0.0
Denmark,Waste,6,Generation,0.0
Denmark,Waste,7,Generation,0.0
Denmark,Waste,8,Generation,0.0
France,Waste,1,Generation,0.0856101972021861
France,Waste,2,Generation,43.98787421021595
France,Waste,3,Generation,0.013859842438342486
France,Waste,4,Generation,0.009383944737339774
France,Waste,5,Generation,0.013539660206452581
France,Waste,6,Generation,0.008612410025057238
France,Waste,7,Generation,0.011141191691695232
France,Waste,8,Generation,0.019828007002794787
Denmark,Germany,1,Transmission,0.0
Denmark,Germany,2,Transmission,1999.321034581587
Denmark,Germany,3,Transmission,0.2679242421370479
Denmark,Germany,4,Transmission,0.0325634300748374
Denmark,Germany,5,Transmission,0.200987606253473
Denmark,Germany,6,Transmission,0.0345022350033209
Denmark,Germany,7,Transmission,0.004986706662769392
Denmark,Germany,8,Transmission,0.009343079513682453
France,Germany,1,Transmission,0.0
France,Germany,2,Transmission,0.0
France,Germany,3,Transmission,1799.7101260828913
France,Germany,4,Transmission,0.04711193516130155
France,Germany,5,Transmission,0.017116799102719488
France,Germany,6,Transmission,0.009613350935623842
France,Germany,7,Transmission,0.029525691539654647
France,Germany,8,Transmission,0.05561706812521197
Germany,HydroPumpStorage,1,Storage Power,0.00624644819436071
Germany,HydroPumpStorage,2,Storage Power,0.06745857643031845
Germany,HydroPumpStorage,3,Storage Power,0.001852514521375463
