seed,n_I,n_J,n_K,n_L,final_samples,iterations,optimality_gap,prediction_gap
20,20,12,24,16,2,0,0.0,99.99986383002879
20,40,24,48,32,2,0,0.39771646914621,100.02217840544392
20,80,48,96,64,2,0,0.8267554988136796,99.99631423043765
42,5,3,6,4,2,0,0.5344438392479794,23.13577952880829
42,10,6,12,8,2,0,1.495184870629419,99.99809256085322
42,20,12,24,16,2,0,1.3429115213748464,100.00003521170751
42,40,24,48,32,2,0,0.6478600273412655,100.02167592796684
42,80,48,96,64,2,0,1.0922601842234256,99.99614748217553
6,5,3,6,4,9,3,0.4573882612709315,43.49242738810031
6,10,6,12,8,2,0,0.10798177484016447,99.99998163291625
6,20,12,24,16,2,0,0.4174311686851771,99.99943970293084
6,40,24,48,32,2,0,0.618458829091536,100.0226736703496
6,80,48,96,64,2,0,0.12323828135212055,99.996003331195
11,5,3,6,4,5,2,1.1388005253145757,29.264600489756056
11,10,6,12,8,2,0,0.6619097637902905,99.99960558208937
11,20,12,24,16,2,0,2.4611349839122756,99.99612110165258
11,40,24,48,32,2,0,0.3552375362612789,100.02219216342976
11,80,48,96,64,2,0,1.6400541760661236,99.99606920922514
