Unnamed:_1	Unnamed:_2	Unnamed:_3	Unnamed:_4	Unnamed:_5
France	Bio10cofiring	4	1	0.8000000000000006
Germany	Nuclear	4	1	0.7499999999999988
France	Nuclear	4	1	0.7499999999999988
France	Wave	4	1	0.33000000000000046
Germany	Geo	4	1	0.8000000000000006
France	Geo	4	1	0.8000000000000006
Germany	Hydroregulated	4	1	1.0
France	Hydroregulated	4	1	1.0
Germany	Hydrorun-of-the-river	4	1	0.54423260718
Denmark	Hydrorun-of-the-river	4	1	0.35328000000000004
France	Hydrorun-of-the-river	4	1	0.618006894
Germany	Bio	4	1	0.8000000000000006
France	Bio	4	1	0.8000000000000006
Germany	Windonshore	4	1	0.24313499999999996
Denmark	Windonshore	4	1	0.28414399999999995
France	Windonshore	4	1	0.315103
Germany	Windoffshore	4	1	0.39336699999999986
Denmark	Windoffshore	4	1	0.393428
France	Windoffshore	4	1	0.505565
Germany	Solar	4	1	0.0991
Denmark	Solar	4	1	0.06259
France	Solar	4	1	0.10828000000000002
Germany	Bio10cofiringCCS	4	1	0.8000000000000006
Denmark	Bio10cofiringCCS	4	1	0.8000000000000006
France	Bio10cofiringCCS	4	1	0.8000000000000006
Germany	LigniteCCSsup	4	1	0.8000000000000006
Germany	CoalCCS	4	1	0.8000000000000006
France	CoalCCS	4	1	0.8000000000000006
Germany	GasCCS	4	1	0.8499999999999984
France	GasCCS	4	1	0.8499999999999984
Germany	Waste	4	1	0.9499999999999981
Denmark	Waste	4	1	0.9499999999999981
France	Waste	4	1	0.9499999999999981
Germany	Liginiteexisting	5	1	0.7499999999999988
Germany	Lignite	5	1	0.8000000000000006
Germany	LigniteCCSadv	5	1	0.8000000000000006
Germany	Coalexisting	5	1	0.7499999999999988
Denmark	Coalexisting	5	1	0.7499999999999988
France	Coalexisting	5	1	0.7499999999999988
Germany	Coal	5	1	0.7499999999999988
Denmark	Coal	5	1	0.7499999999999988
France	Coal	5	1	0.7499999999999988
Germany	CoalCCSadv	5	1	0.8000000000000006
Denmark	CoalCCSadv	5	1	0.8000000000000006
France	CoalCCSadv	5	1	0.8000000000000006
Germany	Gasexisting	5	1	0.8000000000000006
Denmark	Gasexisting	5	1	0.8000000000000006
France	Gasexisting	5	1	0.8000000000000006
Germany	GasOCGT	5	1	0.8499999999999984
Denmark	GasOCGT	5	1	0.8499999999999984
France	GasOCGT	5	1	0.8499999999999984
Germany	GasCCGT	5	1	0.8499999999999984
Denmark	GasCCGT	5	1	0.8499999999999984
France	GasCCGT	5	1	0.8499999999999984
Germany	GasCCSadv	5	1	0.8499999999999984
Denmark	GasCCSadv	5	1	0.8499999999999984
France	GasCCSadv	5	1	0.8499999999999984
Germany	Oilexisting	5	1	0.8499999999999984
Denmark	Oilexisting	5	1	0.8499999999999984
France	Oilexisting	5	1	0.8499999999999984
Germany	Bioexisting	5	1	0.8000000000000006
Denmark	Bioexisting	5	1	0.8000000000000006
France	Bioexisting	5	1	0.8000000000000006
Germany	Bio10cofiring	5	1	0.8000000000000006
Denmark	Bio10cofiring	5	1	0.8000000000000006
France	Bio10cofiring	5	1	0.8000000000000006
Germany	Nuclear	5	1	0.7499999999999988
France	Nuclear	5	1	0.7499999999999988
France	Wave	5	1	0.33000000000000046
Germany	Geo	5	1	0.8000000000000006
France	Geo	5	1	0.8000000000000006
Germany	Hydroregulated	5	1	1.0
France	Hydroregulated	5	1	1.0
