Country,Energy_Type,Period,Type,Value
France,HydroPumpStorage,5,Storage Power,0.0008337142326361667
France,HydroPumpStorage,6,Storage Power,0.007737287944435607
France,HydroPumpStorage,7,Storage Power,2513.59277911329
France,HydroPumpStorage,8,Storage Power,0.05442735823597717
France,Li-Ion_BESS,1,Storage Power,22.96700337335795
France,Li-Ion_BESS,2,Storage Power,9042.96164836231
France,Li-Ion_BESS,3,Storage Power,4362.138694453181
France,Li-Ion_BESS,4,Storage Power,2.342956698037032
France,Li-Ion_BESS,5,Storage Power,4313.828094291896
France,Li-Ion_BESS,6,Storage Power,1396.6621938768242
France,Li-Ion_BESS,7,Storage Power,12537.251785493501
France,Li-Ion_BESS,8,Storage Power,2543.7441220507267
Germany,HydroPumpStorage,1,Storage Energy,0.01425094300066121
Germany,HydroPumpStorage,2,Storage Energy,2148.7992972366137
Germany,HydroPumpStorage,3,Storage Energy,1710.9309949179317
Germany,HydroPumpStorage,4,Storage Energy,0.2912244729442912
Germany,HydroPumpStorage,5,Storage Energy,0.017077971547431785
Germany,HydroPumpStorage,6,Storage Energy,1.5349104679682
Germany,HydroPumpStorage,7,Storage Energy,2147.7944390116704
Germany,HydroPumpStorage,8,Storage Energy,1710.515497961546
Germany,Li-Ion_BESS,1,Storage Energy,65.26775907683209
