Country,Energy_Type,Period,Type,Value
France,Hydrorun-of-the-river,3,Generation,0.01766460342686513
France,Hydrorun-of-the-river,4,Generation,0.007005583797020824
France,Hydrorun-of-the-river,5,Generation,0.001615301478403482
France,Hydrorun-of-the-river,6,Generation,0.0018095756623987393
France,Hydrorun-of-the-river,7,Generation,0.0023641998401770174
France,Hydrorun-of-the-river,8,Generation,0.0032890467699253283
Germany,Bio,1,Generation,2.89143171466485
Germany,Bio,2,Generation,0.020258076347668248
Germany,Bio,3,Generation,64824.14339551221
Germany,Bio,4,Generation,116940.96270866168
Germany,Bio,5,Generation,15311.39380350102
Germany,Bio,6,Generation,1460.2998535763013
Germany,Bio,7,Generation,1460.2889806800733
Germany,Bio,8,Generation,0.000677311217446474
France,Bio,1,Generation,2.996370521117781
France,Bio,2,Generation,0.45110053096091796
France,Bio,3,Generation,64544.16237984379
France,Bio,4,Generation,22363.1153680326
France,Bio,5,Generation,0.09821105147889786
France,Bio,6,Generation,64837.589690997585
France,Bio,7,Generation,48249.785865854334
France,Bio,8,Generation,0.010635981401691613
Germany,Windonshore,1,Generation,0.025499043418676592
Germany,Windonshore,2,Generation,1.0209847876130798
Germany,Windonshore,3,Generation,0.002045312946426976
Germany,Windonshore,4,Generation,0.7249204045424018
Germany,Windonshore,5,Generation,51367.04491156687
Germany,Windonshore,6,Generation,27815.883293356175
Germany,Windonshore,7,Generation,27816.186060880154
Germany,Windonshore,8,Generation,0.04484523557976418
Denmark,Windonshore,1,Generation,0.5455377000489534
Denmark,Windonshore,2,Generation,0.2190554503557902
Denmark,Windonshore,3,Generation,0.2925880405292201
Denmark,Windonshore,4,Generation,0.002766874766221098
Denmark,Windonshore,5,Generation,0.7540402149713603
Denmark,Windonshore,6,Generation,52674.76686843003
Denmark,Windonshore,7,Generation,2322.037973406195
Denmark,Windonshore,8,Generation,0.6539762894813711
France,Windonshore,1,Generation,0.04547441457576702
France,Windonshore,2,Generation,0.12033644473644214
France,Windonshore,3,Generation,2.5652570776220784
France,Windonshore,4,Generation,0.7049484959630423
France,Windonshore,5,Generation,390046.5649814805
France,Windonshore,6,Generation,44317.06721908482
France,Windonshore,7,Generation,87552.17402912292
France,Windonshore,8,Generation,56043.31518940307
Germany,Windoffshore,1,Generation,0.0
Germany,Windoffshore,2,Generation,0.0
Germany,Windoffshore,3,Generation,0.0
Germany,Windoffshore,4,Generation,0.0
Germany,Windoffshore,5,Generation,0.0
Germany,Windoffshore,6,Generation,2260.2071135138362
Germany,Windoffshore,7,Generation,0.0012719513699993076
Germany,Windoffshore,8,Generation,0.0006170434464943777
Denmark,Windoffshore,1,Generation,0.07208508680059822
Denmark,Windoffshore,2,Generation,0.0002557185754482469
Denmark,Windoffshore,3,Generation,0.3928374272928066
Denmark,Windoffshore,4,Generation,1.0761797074883706
Denmark,Windoffshore,5,Generation,0.13122769526618275
Denmark,Windoffshore,6,Generation,38.33928973498195
Denmark,Windoffshore,7,Generation,11539.203302240872
Denmark,Windoffshore,8,Generation,0.49115370433321814
France,Windoffshore,1,Generation,1.9624487030616584
France,Windoffshore,2,Generation,0.0016455569079427642
France,Windoffshore,3,Generation,20.118323174772495
France,Windoffshore,4,Generation,54854.15091943235
France,Windoffshore,5,Generation,0.01862091847290167
France,Windoffshore,6,Generation,3024.8153020393756
France,Windoffshore,7,Generation,0.0319201356236921
France,Windoffshore,8,Generation,17.921014489845888
Germany,Solar,1,Generation,0.00022662535373133336
Germany,Solar,2,Generation,0.2568410981520124
Germany,Solar,3,Generation,0.9040653806212823
Germany,Solar,4,Generation,128512.69821950753
Germany,Solar,5,Generation,500000.00067844155
Germany,Solar,6,Generation,499997.6650765048
Germany,Solar,7,Generation,244488.68409778838
Germany,Solar,8,Generation,0.9215693918282748
Denmark,Solar,1,Generation,0.07747829747040669
Denmark,Solar,2,Generation,0.12462629047002527
Denmark,Solar,3,Generation,1.3465342785086567
Denmark,Solar,4,Generation,0.0314360245102164
Denmark,Solar,5,Generation,0.17790104982552127
Denmark,Solar,6,Generation,0.011416377506495939
Denmark,Solar,7,Generation,76644.71599835936
Denmark,Solar,8,Generation,8881.413169676433
France,Solar,1,Generation,0.16192284496216422
France,Solar,2,Generation,0.30853561657801226
France,Solar,3,Generation,3946.9866292251463
France,Solar,4,Generation,0.022852683225823667
France,Solar,5,Generation,7.713245334577813
France,Solar,6,Generation,183622.3049820259
France,Solar,7,Generation,245405.44785014915
France,Solar,8,Generation,0.19575796371592444
Germany,Bio10cofiringCCS,1,Generation,0.0
